Filename,Count < 0.50,Total Records,Processing Time (s)
sentence_160.csv,6,5967,0.07246732711791992
sentence_89.csv,4,4896,0.04769396781921387
sentence_1240.csv,276,2448,0.02242112159729004
sentence_845.csv,2,3978,0.035306692123413086
sentence_1109.csv,470,1122,0.03157663345336914
sentence_112.csv,132,2754,0.04885101318359375
sentence_1144.csv,192,4029,0.05274200439453125
sentence_691.csv,0,4539,0.08578228950500488
sentence_1816.csv,1174,3723,0.041040897369384766
sentence_819.csv,0,3060,0.04118967056274414
sentence_869.csv,0,4539,0.07559490203857422
sentence_1082.csv,0,6375,0.10166716575622559
sentence_479.csv,48,2652,0.03266787528991699
sentence_1579.csv,74,3366,0.06127810478210449
sentence_1649.csv,154,5304,0.08120942115783691
sentence_314.csv,4,2091,0.06402468681335449
sentence_952.csv,2,3876,0.05249524116516113
sentence_1408.csv,6,3927,0.0453181266784668
sentence_897.csv,10,4386,0.05240273475646973
sentence_1752.csv,0,2856,0.034162044525146484
sentence_970.csv,0,3723,0.04941296577453613
sentence_1466.csv,112,2091,0.04870295524597168
sentence_633.csv,0,6783,0.08452200889587402
sentence_737.csv,746,2856,0.04047441482543945
sentence_1780.csv,0,4692,0.05070376396179199
sentence_1493.csv,0,2550,0.023054838180541992
sentence_1668.csv,0,5100,0.08510732650756836
sentence_1150.csv,0,8262,0.12790894508361816
sentence_1689.csv,90,3264,0.035958051681518555
sentence_1755.csv,586,3621,0.04231071472167969
sentence_48.csv,0,2244,0.03613901138305664
sentence_945.csv,24,2244,0.027268648147583008
sentence_1047.csv,1176,2652,0.030314207077026367
sentence_1182.csv,4,2244,0.026815414428710938
sentence_1073.csv,0,5763,0.11765551567077637
sentence_724.csv,16,5559,0.05631113052368164
sentence_1114.csv,0,7446,0.10154438018798828
sentence_831.csv,230,3723,0.03924822807312012
sentence_1393.csv,352,5406,0.08070683479309082
sentence_1186.csv,596,2652,0.04431319236755371
sentence_1040.csv,80,4845,0.08845067024230957
sentence_1300.csv,514,4131,0.04427146911621094
sentence_267.csv,0,1683,0.025263071060180664
sentence_386.csv,0,5967,0.11659431457519531
