Filename,Count < 0.50,Total Records,Processing Time (s)
sentence_160.csv,2,5967,0.0771937370300293
sentence_89.csv,242,4896,0.058118343353271484
sentence_1240.csv,552,2448,0.027430057525634766
sentence_845.csv,0,3978,0.04472947120666504
sentence_1109.csv,726,1122,0.020905017852783203
sentence_112.csv,282,2754,0.04658985137939453
sentence_1144.csv,12,4029,0.06234383583068848
sentence_691.csv,4,4539,0.0944068431854248
sentence_1816.csv,694,3723,0.0678255558013916
sentence_819.csv,0,3060,0.13145780563354492
sentence_869.csv,0,4539,0.09356927871704102
sentence_1082.csv,76,6375,0.14656662940979004
sentence_479.csv,70,2652,0.023488759994506836
sentence_1579.csv,0,3366,0.06517291069030762
sentence_1649.csv,1350,5304,0.17981505393981934
sentence_314.csv,12,2091,0.03802371025085449
sentence_952.csv,208,3876,0.09609746932983398
sentence_1408.csv,1782,3927,0.04155087471008301
sentence_897.csv,0,4386,0.07746171951293945
sentence_1752.csv,4,2856,0.02763223648071289
sentence_970.csv,250,3723,0.10629582405090332
sentence_1466.csv,92,2091,0.04317069053649902
sentence_633.csv,12,6783,0.10017585754394531
sentence_737.csv,126,2856,0.06236386299133301
sentence_1780.csv,0,4692,0.09110569953918457
sentence_1493.csv,2,2550,0.04315757751464844
sentence_1668.csv,28,5100,0.10865163803100586
sentence_1150.csv,0,8262,0.10972237586975098
sentence_1689.csv,220,3264,0.07595229148864746
sentence_1755.csv,1258,3621,0.06859970092773438
sentence_48.csv,94,2244,0.047685861587524414
sentence_945.csv,142,2244,0.03433108329772949
sentence_1047.csv,704,2652,0.03520488739013672
sentence_1182.csv,2,2244,0.04666447639465332
sentence_1073.csv,134,5763,0.11355805397033691
sentence_724.csv,392,5559,0.07648158073425293
sentence_1114.csv,0,7446,0.09215521812438965
sentence_831.csv,4,3723,0.13533496856689453
sentence_1393.csv,238,5406,0.2533092498779297
sentence_1186.csv,310,2652,0.04012441635131836
sentence_1040.csv,56,4845,0.16351699829101562
sentence_1300.csv,1736,4131,0.0684809684753418
sentence_267.csv,8,1683,0.058090925216674805
sentence_386.csv,0,5967,0.11260771751403809
sentence_33.csv,222,1887,0.04161214828491211
sentence_647.csv,200,6018,0.13247227668762207
sentence_773.csv,4,3162,0.04289674758911133
sentence_351.csv,0,4335,0.0647284984588623
sentence_1365.csv,0,4590,0.06961965560913086
sentence_218.csv,10,6834,0.1933896541595459
sentence_142.csv,180,5355,0.0738377571105957
sentence_227.csv,10,3723,0.0518643856048584
sentence_1671.csv,4,2856,0.0729372501373291
sentence_1158.csv,0,10302,0.5129303932189941
sentence_1103.csv,74,6885,0.13482666015625
sentence_1202.csv,0,4947,0.08892822265625
sentence_650.csv,418,3825,0.08606529235839844
sentence_1289.csv,932,4437,0.06202554702758789
sentence_1411.csv,48,2499,0.036841630935668945
sentence_1154.csv,478,2754,0.06012582778930664
sentence_768.csv,12,2346,0.06234383583068848
sentence_876.csv,0,6681,0.2093334197998047
sentence_1522.csv,0,9843,0.32280468940734863
sentence_1467.csv,360,5610,0.13100004196166992
sentence_1808.csv,76,3060,0.045255422592163086
sentence_1237.csv,3842,6120,0.10269689559936523
sentence_855.csv,2,3468,0.07990837097167969
sentence_1786.csv,368,3111,0.06096196174621582
sentence_513.csv,0,3264,0.06641912460327148
sentence_684.csv,4,1479,0.09362220764160156
sentence_956.csv,84,5253,0.19364309310913086
sentence_1475.csv,166,5202,0.08933067321777344
sentence_1306.csv,1452,7191,0.26928019523620605
sentence_1737.csv,0,3723,0.05668044090270996
sentence_148.csv,584,7548,0.17923665046691895
sentence_1337.csv,120,6936,0.17791152000427246
sentence_430.csv,298,4998,0.07271790504455566
sentence_1027.csv,1310,6987,0.1556384563446045
sentence_500.csv,0,3825,0.032184600830078125
sentence_1658.csv,132,3315,0.07355570793151855
sentence_519.csv,0,5712,0.22924399375915527
sentence_313.csv,174,6375,0.16289806365966797
sentence_978.csv,130,9741,0.17419910430908203
sentence_229.csv,0,5100,0.05495929718017578
sentence_1701.csv,4,969,0.022086620330810547
sentence_1439.csv,1976,5151,0.19161200523376465
sentence_281.csv,8,5355,0.14558100700378418
sentence_943.csv,812,3570,0.05220985412597656
sentence_1007.csv,0,7344,0.27321696281433105
sentence_799.csv,0,3825,0.09444904327392578
sentence_1506.csv,2,2040,0.03810739517211914
sentence_770.csv,2,5355,0.13054752349853516
sentence_1269.csv,212,2499,0.05242657661437988
sentence_144.csv,0,1275,0.01574563980102539
sentence_744.csv,128,6018,0.2805173397064209
sentence_1265.csv,38,969,0.025305986404418945
sentence_1256.csv,64,102,0.010415077209472656
sentence_721.csv,228,3162,0.07172918319702148
sentence_57.csv,586,3825,0.1160128116607666
sentence_639.csv,754,5508,0.14055800437927246
sentence_604.csv,0,6222,0.08652043342590332
sentence_646.csv,214,9027,0.10600781440734863
sentence_1175.csv,4,2397,0.02604079246520996
sentence_269.csv,0,4437,0.052545785903930664
sentence_620.csv,0,1785,0.05661606788635254
sentence_1792.csv,80,3468,0.048020124435424805
sentence_986.csv,374,459,0.026360511779785156
sentence_330.csv,4,6018,0.06989169120788574
sentence_1433.csv,424,6018,0.11066460609436035
sentence_420.csv,122,714,0.07427453994750977
sentence_1181.csv,78,6120,0.24012470245361328
sentence_1259.csv,0,3213,0.04857611656188965
sentence_1558.csv,0,4386,0.14131426811218262
sentence_1176.csv,88,6324,0.16966032981872559
sentence_969.csv,0,4641,0.10531115531921387
sentence_866.csv,844,5253,0.06140899658203125
sentence_1022.csv,82,5151,0.05474591255187988
sentence_24.csv,4,6273,0.14571905136108398
sentence_1797.csv,14,3978,0.875164270401001
sentence_1261.csv,50,6579,0.2565159797668457
sentence_1196.csv,0,3213,0.10908341407775879
sentence_1080.csv,602,4590,0.08286356925964355
sentence_1650.csv,30,6426,0.1532752513885498
sentence_496.csv,0,3621,0.08950304985046387
sentence_1033.csv,0,4743,0.15940546989440918
sentence_1000.csv,0,7293,0.21813058853149414
sentence_784.csv,520,5865,0.15873169898986816
sentence_30.csv,114,1479,0.036620140075683594
sentence_1232.csv,0,3264,0.05617713928222656
sentence_1495.csv,42,5610,0.10753035545349121
sentence_243.csv,260,5865,0.07956600189208984
sentence_1297.csv,414,3774,0.08719253540039062
sentence_1812.csv,234,3315,0.039646148681640625
sentence_297.csv,3168,4029,0.11943387985229492
sentence_1350.csv,246,1224,0.025697708129882812
sentence_483.csv,28,1887,0.017220020294189453
sentence_617.csv,3396,7599,0.2137746810913086
sentence_473.csv,20,3315,0.04710245132446289
sentence_131.csv,892,4896,0.10314273834228516
sentence_1691.csv,90,2652,0.06937599182128906
sentence_1642.csv,2,7038,0.13737010955810547
sentence_413.csv,450,1734,0.052106618881225586
sentence_1469.csv,98,1326,0.01255655288696289
sentence_1015.csv,16,4896,0.06142163276672363
sentence_852.csv,276,3417,0.0271909236907959
sentence_862.csv,170,3774,0.035308122634887695
sentence_113.csv,156,2040,0.05290508270263672
sentence_613.csv,20,1326,0.026016712188720703
sentence_108.csv,4,3264,0.07602238655090332
sentence_259.csv,3948,6681,0.15477395057678223
sentence_664.csv,318,3264,0.035515785217285156
sentence_1619.csv,0,3621,0.07118749618530273
sentence_12.csv,52,4896,0.08311104774475098
sentence_18.csv,0,4284,0.13674569129943848
sentence_635.csv,154,5457,0.12088918685913086
